event_id,Station,Date,Time,YSI,WeatherCode,Secchi,WaterTemperature,DO,SpCnd,Conductivity,pH,Turbidity,Tide,FlowDirection,MicrocystisVisualRank,VegetationRank,FieldComments_WQ,DataCorrectionComments,Datetime,ConditionCode,SamplingAltered,MeterSetTime,FlowMeterStart,FlowMeterEnd,FlowMeterSpeed,FieldComments,MeshSize,Year,Month,MonthAbb,Flag_PQC,Comment_PQC,SampleAltered,SetTime,PhysicalDataID,SampleVolume,SubsampleNumber,DilutionVolume,SlideCount,SampleID,Attribute,TaxonName,Category,Count,LifeStage,wet_mass,dry_mass,LabComments,condition
STTD_2023-01-03 11:00:00,STTD,2023-01-03,11:00:00,3,CLD,0.27,8.5,7.69,505,346,7.47,43.8,HIGH,D,1,2,NA,NA,2023-01-03T11:00:00Z,1,Y,10,866258,855725,Low,Towed from jon boat (forward),500,2023,1,Jan,NA,NA,Y,10,NA,NA,NA,NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,Actinopterygii,Aquatic Non-Insect,3,N/A,0.87480000000000002,0.21620000000000017,NA,N
STTD_2023-01-03 11:00:00,STTD,2023-01-03,11:00:00,3,CLD,0.27,8.5,7.69,505,346,7.47,43.8,HIGH,D,1,2,NA,NA,2023-01-03T11:00:00Z,1,Y,10,866258,855725,Low,Towed from jon boat (forward),500,2023,1,Jan,NA,NA,Y,10,NA,NA,NA,NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,Acari,Terrestrial Non-Insect,1,N/A,<0.001,<0.001,NA,N
STTD_2023-01-03 11:00:00,STTD,2023-01-03,11:00:00,3,CLD,0.27,8.5,7.69,505,346,7.47,43.8,HIGH,D,1,2,NA,NA,2023-01-03T11:00:00Z,1,Y,10,866258,855725,Low,Towed from jon boat (forward),500,2023,1,Jan,NA,NA,Y,10,NA,NA,NA,NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,Araneae,Terrestrial Non-Insect,2,N/A,<0.001,<0.001,NA,N
STTD_2023-01-03 11:00:00,STTD,2023-01-03,11:00:00,3,CLD,0.27,8.5,7.69,505,346,7.47,43.8,HIGH,D,1,2,NA,NA,2023-01-03T11:00:00Z,1,Y,10,866258,855725,Low,Towed from jon boat (forward),500,2023,1,Jan,NA,NA,Y,10,NA,NA,NA,NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,Limnesiidae,Aquatic Non-Insect,1,N/A,<0.001,<0.001,NA,N
STTD_2023-01-03 11:00:00,STTD,2023-01-03,11:00:00,3,CLD,0.27,8.5,7.69,505,346,7.47,43.8,HIGH,D,1,2,NA,NA,2023-01-03T11:00:00Z,1,Y,10,866258,855725,Low,Towed from jon boat (forward),500,2023,1,Jan,NA,NA,Y,10,NA,NA,NA,NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,Oligochaeta,Aquatic Non-Insect,2,N/A,<0.001,<0.001,NA,N
STTD_2023-01-03 11:00:00,STTD,2023-01-03,11:00:00,3,CLD,0.27,8.5,7.69,505,346,7.47,43.8,HIGH,D,1,2,NA,NA,2023-01-03T11:00:00Z,1,Y,10,866258,855725,Low,Towed from jon boat (forward),500,2023,1,Jan,NA,NA,Y,10,NA,NA,NA,NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,Gastropoda,Terrestrial Non-Insect,2,N/A,4.4999999999997264E-3,<0.001,NA,N
STTD_2023-01-03 11:00:00,STTD,2023-01-03,11:00:00,3,CLD,0.27,8.5,7.69,505,346,7.47,43.8,HIGH,D,1,2,NA,NA,2023-01-03T11:00:00Z,1,Y,10,866258,855725,Low,Towed from jon boat (forward),500,2023,1,Jan,NA,NA,Y,10,NA,NA,NA,NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,Collembola,Terrestrial Non-Insect,15,Adults,2.8000000000001357E-3,<0.001,NA,N
STTD_2023-01-03 11:00:00,STTD,2023-01-03,11:00:00,3,CLD,0.27,8.5,7.69,505,346,7.47,43.8,HIGH,D,1,2,NA,NA,2023-01-03T11:00:00Z,1,Y,10,866258,855725,Low,Towed from jon boat (forward),500,2023,1,Jan,NA,NA,Y,10,NA,NA,NA,NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,Chaoboridae,Aquatic Insect,1,Larvae,<0.001,<0.001,NA,N
STTD_2023-01-03 11:00:00,STTD,2023-01-03,11:00:00,3,CLD,0.27,8.5,7.69,505,346,7.47,43.8,HIGH,D,1,2,NA,NA,2023-01-03T11:00:00Z,1,Y,10,866258,855725,Low,Towed from jon boat (forward),500,2023,1,Jan,NA,NA,Y,10,NA,NA,NA,NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,1,Larvae,<0.001,<0.001,NA,N
STTD_2023-01-03 11:00:00,STTD,2023-01-03,11:00:00,3,CLD,0.27,8.5,7.69,505,346,7.47,43.8,HIGH,D,1,2,NA,NA,2023-01-03T11:00:00Z,1,Y,10,866258,855725,Low,Towed from jon boat (forward),500,2023,1,Jan,NA,NA,Y,10,NA,NA,NA,NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,Chironomidae,Aquatic Insect,15,Adults,3.2999999999998586E-3,<0.001,NA,N
STTD_2023-01-03 11:00:00,STTD,2023-01-03,11:00:00,3,CLD,0.27,8.5,7.69,505,346,7.47,43.8,HIGH,D,1,2,NA,NA,2023-01-03T11:00:00Z,1,Y,10,866258,855725,Low,Towed from jon boat (forward),500,2023,1,Jan,NA,NA,Y,10,NA,NA,NA,NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,2,Nymphs,<0.001,<0.001,NA,N
STTD_2023-01-03 11:00:00,STTD,2023-01-03,11:00:00,3,CLD,0.27,8.5,7.69,505,346,7.47,43.8,HIGH,D,1,2,NA,NA,2023-01-03T11:00:00Z,1,Y,10,866258,855725,Low,Towed from jon boat (forward),500,2023,1,Jan,NA,NA,Y,10,NA,NA,NA,NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,Hemiptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
STTD_2023-01-03 11:00:00,STTD,2023-01-03,11:00:00,3,CLD,0.27,8.5,7.69,505,346,7.47,43.8,HIGH,D,1,2,NA,NA,2023-01-03T11:00:00Z,1,Y,10,866258,855725,Low,Towed from jon boat (forward),500,2023,1,Jan,NA,NA,Y,10,NA,NA,NA,NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,Corixidae,Aquatic Insect,10,Nymphs,2.4000000000001798E-3,<0.001,NA,N
STTD_2023-01-03 11:00:00,STTD,2023-01-03,11:00:00,3,CLD,0.27,8.5,7.69,505,346,7.47,43.8,HIGH,D,1,2,NA,NA,2023-01-03T11:00:00Z,1,Y,10,866258,855725,Low,Towed from jon boat (forward),500,2023,1,Jan,NA,NA,Y,10,NA,NA,NA,NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,Corixidae,Aquatic Insect,1,Adults,3.9000000000002366E-3,<0.001,NA,N
STTD_2023-01-03 11:00:00,STTD,2023-01-03,11:00:00,3,CLD,0.27,8.5,7.69,505,346,7.47,43.8,HIGH,D,1,2,NA,NA,2023-01-03T11:00:00Z,1,Y,10,866258,855725,Low,Towed from jon boat (forward),500,2023,1,Jan,NA,NA,Y,10,NA,NA,NA,NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,Hymenoptera,Terrestrial Insect,5,Adults,1.3000000000000789E-3,<0.001,NA,N
STTD_2023-01-03 11:00:00,STTD,2023-01-03,11:00:00,3,CLD,0.27,8.5,7.69,505,346,7.47,43.8,HIGH,D,1,2,NA,NA,2023-01-03T11:00:00Z,1,Y,10,866258,855725,Low,Towed from jon boat (forward),500,2023,1,Jan,NA,NA,Y,10,NA,NA,NA,NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,Psocoptera,Terrestrial Insect,1,Adults,<0.001,<0.001,NA,N
