event_id,PhysicalDataID,Station,Date,YSI,Time,WeatherCode,Tide,MicrocystisVisualRank,WaterTemperature,Secchi,Conductivity,SpCnd,pH,DO,Turbidity,Datetime,FlowDirection,VegetationRank,FieldComments_WQ,DataCorrectionComments,SamplingAltered,MeshSize,Year,Month,MonthAbb,Flag_PQC,Comment_PQC,SamplingID,InvertDataID,ConditionCode,SetTime,FlowMeterSpeed,FlowMeterStart,FlowMeterEnd,LabComments,FieldComments,TaxonName,Count,Category,LifeStage,InvertCode,SampleVolume,SampleID,Attribute,wet_mass,dry_mass,condition,SampleAltered,SubsampleNumber,DilutionVolume
STTD_1998-02-03 07:59:00,105,STTD,1998-02-03,NA,07:59:00,RAN,NA,NA,10.6,NA,NA,NA,NA,NA,NA,1998-02-03T07:59:00Z,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,45222,119,NA,36,Regular,NA,NA,NA,NA,Ephydridae,1,Aquatic Insects,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STTD_1998-02-03 07:59:00,105,STTD,1998-02-03,NA,07:59:00,RAN,NA,NA,10.6,NA,NA,NA,NA,NA,NA,1998-02-03T07:59:00Z,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,45222,119,NA,36,Regular,NA,NA,NA,NA,Collembola,1,Terrestrial Non-Insects,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STTD_1998-02-03 07:59:00,105,STTD,1998-02-03,NA,07:59:00,RAN,NA,NA,10.6,NA,NA,NA,NA,NA,NA,1998-02-03T07:59:00Z,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,45222,119,NA,36,Regular,NA,NA,NA,NA,Araneida,2,Terrestrial Non-Insects,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STTD_1998-02-03 07:59:00,105,STTD,1998-02-03,NA,07:59:00,RAN,NA,NA,10.6,NA,NA,NA,NA,NA,NA,1998-02-03T07:59:00Z,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,45222,119,NA,36,Regular,NA,NA,NA,NA,Coleoptera,2,Terrestrial Insects,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STTD_1998-02-03 07:59:00,105,STTD,1998-02-03,NA,07:59:00,RAN,NA,NA,10.6,NA,NA,NA,NA,NA,NA,1998-02-03T07:59:00Z,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,45222,119,NA,36,Regular,NA,NA,NA,NA,Hydrophilidae,1,Aquatic Insects,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STTD_1998-02-03 07:59:00,105,STTD,1998-02-03,NA,07:59:00,RAN,NA,NA,10.6,NA,NA,NA,NA,NA,NA,1998-02-03T07:59:00Z,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,45222,119,NA,36,Regular,NA,NA,NA,NA,Cyprididae,3,Aquatic Non-Insects,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STTD_1998-02-03 07:59:00,105,STTD,1998-02-03,NA,07:59:00,RAN,NA,NA,10.6,NA,NA,NA,NA,NA,NA,1998-02-03T07:59:00Z,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,45222,119,NA,36,Regular,NA,NA,NA,NA,Coenagrionidae,1,Aquatic Insects,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STTD_1998-02-03 07:59:00,105,STTD,1998-02-03,NA,07:59:00,RAN,NA,NA,10.6,NA,NA,NA,NA,NA,NA,1998-02-03T07:59:00Z,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,45222,119,NA,36,Regular,NA,NA,NA,NA,Chironomidae,64,Aquatic Insects,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHR_1998-02-03 09:13:00,93,SHR,1998-02-03,NA,09:13:00,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-02-03T09:13:00Z,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,45225,107,NA,36,Regular,NA,NA,NA,No meter values on datasheet,Ephydridae,3,Aquatic Insects,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SHR_1998-02-03 09:13:00,93,SHR,1998-02-03,NA,09:13:00,RAN,NA,NA,NA,NA,NA,NA,NA,NA,NA,1998-02-03T09:13:00Z,NA,NA,NA,NA,NA,NA,1998,2,Feb,NA,NA,45225,107,NA,36,Regular,NA,NA,NA,No meter values on datasheet,Baetidae,1,Aquatic Insects,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
