,event_id,PhysicalDataID,Station,Date,YSI,Time,Datetime,FlowDirection,VegetationRank,FieldComments_WQ,DataCorrectionComments,SamplingAltered,MeshSize,SamplingID,InvertDataID,ConditionCode,SetTime,FlowMeterSpeed,FlowMeterStart,FlowMeterEnd,FieldComments,InvertCode,SampleVolume,SampleID,Attribute,wet_mass,dry_mass,condition,SampleAltered,SubsampleNumber,DilutionVolume,Flag_SAMP,Comment_SAMP,Flag_LAB,Comment_LAB
1,STTD_2023-01-03 11:00:00,NA,STTD,1/3/2023,3,11:00:00,1/3/2023 11:00,D,2,NA,NA,Y,500,NA,NA,1,10,Low,866258,855725,Towed from jon boat (forward),NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,0.87480000000000002,0.21620000000000017,N,NA,NA,NA,,,,
2,STTD_2023-01-03 11:00:00,NA,STTD,1/3/2023,3,11:00:00,1/3/2023 11:00,D,2,NA,NA,Y,500,NA,NA,1,10,Low,866258,855725,Towed from jon boat (forward),NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,<0.001,<0.001,N,NA,NA,NA,,,,
3,STTD_2023-01-03 11:00:00,NA,STTD,1/3/2023,3,11:00:00,1/3/2023 11:00,D,2,NA,NA,Y,500,NA,NA,1,10,Low,866258,855725,Towed from jon boat (forward),NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,4.4999999999997264E-3,<0.001,N,NA,NA,NA,,,,
4,STTD_2023-01-03 11:00:00,NA,STTD,1/3/2023,3,11:00:00,1/3/2023 11:00,D,2,NA,NA,Y,500,NA,NA,1,10,Low,866258,855725,Towed from jon boat (forward),NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,2.8000000000001357E-3,<0.001,N,NA,NA,NA,,,,
5,STTD_2023-01-03 11:00:00,NA,STTD,1/3/2023,3,11:00:00,1/3/2023 11:00,D,2,NA,NA,Y,500,NA,NA,1,10,Low,866258,855725,Towed from jon boat (forward),NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,3.2999999999998586E-3,<0.001,N,NA,NA,NA,,,,
6,STTD_2023-01-03 11:00:00,NA,STTD,1/3/2023,3,11:00:00,1/3/2023 11:00,D,2,NA,NA,Y,500,NA,NA,1,10,Low,866258,855725,Towed from jon boat (forward),NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,2.4000000000001798E-3,<0.001,N,NA,NA,NA,,,,
7,STTD_2023-01-03 11:00:00,NA,STTD,1/3/2023,3,11:00:00,1/3/2023 11:00,D,2,NA,NA,Y,500,NA,NA,1,10,Low,866258,855725,Towed from jon boat (forward),NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,3.9000000000002366E-3,<0.001,N,NA,NA,NA,,,,
8,STTD_2023-01-03 11:00:00,NA,STTD,1/3/2023,3,11:00:00,1/3/2023 11:00,D,2,NA,NA,Y,500,NA,NA,1,10,Low,866258,855725,Towed from jon boat (forward),NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,1.3000000000000789E-3,<0.001,N,NA,NA,NA,,,,
9,STTD_2023-01-03 11:00:00,NA,STTD,1/3/2023,3,11:00:00,1/3/2023 11:00,D,2,NA,NA,Y,500,NA,NA,1,10,Low,866258,855725,Towed from jon boat (forward),NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,5.7000000000000384E-3,1.4000000000002899E-3,N,NA,NA,NA,,,,
10,STTD_2023-01-03 11:00:00,NA,STTD,1/3/2023,3,11:00:00,1/3/2023 11:00,D,2,NA,NA,Y,500,NA,NA,1,10,Low,866258,855725,Towed from jon boat (forward),NA,NA,20230103_1100_STTD_DRIFT,Drift Invertebrates,5.8200000000000252E-2,2.0700000000000163E-2,N,NA,NA,NA,,,,
